company_label,label_change,sentences
3M,irr,3202
3M,rel,5
AEP,irr,1543
AEP,rel,22
Abbott,irr,2030
Abbott,rel,8
Accenture,irr,554
Accenture,rel,13
Adobe,irr,199
Adobe,rel,3
AirProducts,irr,806
AirProducts,rel,6
Altria_2021,irr,381
Altria_2021,rel,1
Altria_Environmental,irr,25
Altria_TCFD,irr,333
Amazon,irr,1585
Amazon,rel,28
AmericanTowerCorp,irr,1131
AmericanTowerCorp,rel,16
Amgen,irr,1099
Amgen,rel,3
Apple,irr,1937
Apple,rel,31
BP,irr,1144
BP,rel,55
Boeing,irr,1134
Boeing,rel,7
BookingHoldings,irr,752
BookingHoldings,rel,12
BristolMyersSquibb,irr,1171
BristolMyersSquibb,rel,5
Broadcom,irr,524
Broadcom,rel,9
Caterpillar,irr,657
Caterpillar,rel,20
Cisco,irr,1453
Cisco,rel,16
CocaCola,irr,1205
CocaCola,rel,7
Corteva,irr,737
Costco,irr,125
CrownCastle,irr,120
CrownCastle,rel,2
Danaher,irr,932
Deere,irr,884
Deere,rel,7
Delta,irr,662
Delta,rel,39
Dominion_Energy,irr,661
Dominion_Energy,rel,1
Dow,irr,2815
Dow,rel,7
Duke_Energy,irr,968
Duke_Energy,rel,28
Ecolab,irr,1351
Ecolab,rel,10
EliLilly,irr,78
EliLilly,rel,21
EsteeLauder,irr,1688
EsteeLauder,rel,12
FreeportMcmoran,irr,763
FreeportMcmoran,rel,10
Hershey,irr,1301
Hershey,rel,9
HomeDepot,irr,1413
HomeDepot,rel,17
Honeywell,irr,717
Honeywell,rel,8
IntrntlFlavorsandFragrances,irr,1800
IntrntlFlavorsandFragrances,rel,1
Linde,irr,2086
Linde,rel,21
Lockheed,irr,1002
Lockheed,rel,3
Lowes,irr,768
Lowes,rel,3
Mastercard,irr,1156
Mastercard,rel,19
McDonalds,irr,358
McDonalds,rel,4
Merck,irr,2384
Merck,rel,10
Microsoft,irr,1798
Microsoft,rel,70
Mondelez_Intl,irr,1430
Mondelez_Intl,rel,23
NewmontMining,irr,564
NewmontMining,rel,12
NextEraEnergyZeroCarbonBlueprint,irr,184
NextEraEnergyZeroCarbonBlueprint,rel,27
Nike,irr,1863
Nike,rel,13
Nucor,irr,538
Nucor,rel,5
Nvidia,irr,946
Nvidia,rel,4
Oracle,irr,708
Oracle,rel,5
PandG,irr,785
PandG,rel,13
PepsiCo,irr,216
PepsiCo,rel,9
Pfizer,irr,52
Philip_Morris_Intl,irr,3746
Philip_Morris_Intl,rel,7
Prologis,irr,787
Prologis,rel,30
Raytheon,irr,1216
Raytheon,rel,10
Shell,irr,1120
Shell,rel,15
SherwinWilliams,irr,948
SherwinWilliams,rel,2
Starbucks,irr,929
Starbucks,rel,4
TJX,irr,1446
TJX,rel,19
Target,irr,1515
Target,rel,7
Tesla,irr,1364
Tesla,rel,3
ThermoFisherScientifiic,irr,874
ThermoFisherScientifiic,rel,4
Total,irr,1261
Total,rel,84
UPS,irr,74
UPS,rel,12
UnionPacific,irr,277
UnionPacific,rel,17
UnitedHealthGroup,irr,1012
VIsa,irr,594
VIsa,rel,9
Walmart,irr,560
Walmart,rel,3
johnsonandjohnson,irr,1918
johnsonandjohnson,rel,12
